chr1	51951183	51951204
chr1	68363086	68363107
chr1	88248582	88248615
chr1	162967782	162967806
chr2	5300085	5300264
chr2	5300283	5300440
chr2	22445315	22445336
chr2	130103475	130103499
chr2	130103766	130103795
chr3	37380426	37380549
chr3	120952711	120952805
chr3	120952809	120952883
chr4	82058984	82059006
chr4	116828379	116828408
chr5	108333631	108333662
chr5	147072570	147072781
chr5	147072783	147072901
chr6	144017340	144017361
chr9	56071659	56071765
chr9	68867016	68867048
chr9	105721796	105721881
chrX	154380461	154380490
chr10	84935677	84935704
chr11	87236502	87236533
chr12	30281375	30281396
chr12	79451917	79452039
chr12	110874223	110874254
chr12	110874256	110874289
chr12	110888917	110888945
chr13	17876417	17876439
chr13	97960496	97960600
chr13	113368388	113368561
chr15	79908929	79908954
chr16	23109062	23109090
chr16	32919919	32919953
chr16	57391567	57391789
chr18	75161143	75161173
chr19	22926508	22926588
chr19	28518326	28518347
