chr1	9932550	9932625
chr1	16633481	16633576
chr1	21395877	21395957
chr1	46882938	46883007
chr1	55753419	55753482
chr1	65321610	65321669
chr1	66743055	66743138
chr1	87986705	87986799
chr1	88252835	88252903
chr1	91787610	91787670
chr1	159104362	159104422
chr1	160542533	160542594
chr1	162966189	162966269
chr1	164645526	164645604
chr1	166368299	166368374
chr1	170088125	170088188
chr1	183086022	183086091
chr1	184784047	184784103
chr2	13500038	13500092
chr2	14060587	14060647
chr2	29758953	29759023
chr2	29857763	29857820
chr2	29880442	29880502
chr2	37428655	37428711
chr2	37431283	37431338
chr2	37437902	37437988
chr2	57219768	57219844
chr2	69707960	69708016
chr2	69811619	69811669
chr2	70412283	70412357
chr2	70551876	70551953
chr2	76436371	76436452
chr2	83719534	83719613
chr2	83720297	83720365
chr2	84882860	84882933
chr2	91000487	91000541
chr2	92795251	92795303
chr2	94253817	94253868
chr2	102140299	102140367
chr2	110703035	110703098
chr2	119556411	119556474
chr2	120146447	120146528
chr2	121129793	121129860
chr2	128929440	128929494
chr2	130370735	130370818
chr2	131123732	131123784
chr2	132124218	132124301
chr2	132132879	132132974
chr2	132133986	132134044
chr2	132136745	132136804
chr2	143765715	143765766
chr2	145466775	145466835
chr2	160530691	160530742
chr3	27141860	27141911
chr3	36893808	36893873
chr3	51325127	51325195
chr3	55272218	55272274
chr3	55341722	55341777
chr3	55756929	55756997
chr3	85944541	85944609
chr3	103547608	103547661
chr3	104806478	104806535
chr3	113280626	113280696
chr3	137289755	137289826
chr3	146642829	146642902
chr3	153575090	153575168
chr4	21924267	21924359
chr4	40685324	40685388
chr4	58882289	58882340
chr4	59916286	59916365
chr4	82447399	82447450
chr4	83102511	83102561
chr4	86471531	86471594
chr4	98041605	98041688
chr4	101313108	101313170
chr4	123051624	123051679
chr4	131825994	131826060
chr4	137682428	137682481
chr4	137869673	137869731
chr4	139045128	139045181
chr4	144653501	144653551
chr4	147197150	147197212
chr4	148554692	148554749
chr4	148587502	148587555
chr4	150518173	150518234
chr4	151747642	151747736
chr5	8732330	8732381
chr5	8845786	8845837
chr5	24605830	24605895
chr5	27925359	27925419
chr5	33370491	33370563
chr5	58113201	58113265
chr5	67446220	67446280
chr5	81941500	81941554
chr5	90673195	90673248
chr5	92587473	92587542
chr5	93602597	93602647
chr5	102250574	102250647
chr5	104522249	104522319
chr5	107063957	107064025
chr5	108704619	108704676
chr5	123000541	123000595
chr5	123411521	123411574
chr5	130296549	130296608
chr5	130321771	130321826
chr5	139958657	139958712
chr5	144670561	144670630
chr6	4032488	4032549
chr6	4705685	4705758
chr6	6064988	6065053
chr6	11850533	11850583
chr6	21921084	21921172
